size,cores,time
10000,105,0.915909
10000,105,1.053656
10000,105,0.871415
10000,105,0.944656
10000,106,0.939941
10000,106,0.834876
10000,106,0.932539
10000,106,1.007186
10000,106,0.840879
10000,107,0.826300
10000,107,0.970568
10000,107,0.852429
10000,107,0.913658
10000,107,0.852783
10000,108,0.820973
10000,108,0.915981
10000,108,0.889404
10000,108,0.917048
10000,108,0.923739
10000,109,1.027401
10000,109,0.927776
10000,109,0.826455
10000,109,0.848067
10000,109,0.806145
10000,110,0.841172
10000,110,0.933836
10000,110,1.043352
10000,110,0.864923
10000,110,0.797255
10000,111,0.917506
10000,111,0.819492
10000,111,0.917855
10000,111,0.926639
10000,111,0.907105
10000,112,0.857340
10000,112,0.902173
10000,112,1.049951
10000,112,0.923169
10000,112,0.817286
10000,113,0.843501
10000,113,0.770349
10000,113,0.828707
10000,113,0.782452
10000,113,0.921909
10000,114,0.864293
10000,114,0.915838
10000,114,0.794826
10000,114,0.793013
10000,114,0.915721
10000,115,0.802271
10000,115,0.787834
10000,115,0.916600
10000,115,0.906468
10000,115,0.831767
10000,116,0.888965
10000,116,0.803602
10000,116,0.911635
10000,116,0.902041
10000,116,0.917793
10000,117,0.913287
10000,117,0.894676
10000,117,0.889080
10000,117,0.831311
10000,117,0.827399
10000,118,0.888931
10000,118,0.927079
10000,118,0.798950
10000,118,0.918654
10000,118,0.922466
10000,119,0.904359
10000,119,0.907410
10000,119,0.849963
10000,119,0.897421
10000,119,0.775724
10000,120,0.806376
10000,120,0.777455
10000,120,0.780332
10000,120,0.911953
10000,120,0.856543
10000,121,0.897708
10000,121,0.849099
10000,121,0.841947
10000,121,0.808725
10000,121,0.772776
10000,122,0.886706
10000,122,0.873165
10000,122,0.778456
10000,122,0.890336
10000,122,0.790752
10000,123,0.813979
10000,123,0.818308
10000,123,0.882833
10000,123,0.913234
10000,123,0.890285
10000,124,0.819075
10000,124,0.914986
10000,124,0.812283
10000,124,0.892004
10000,124,0.897154
10000,125,1.024181
10000,125,0.782818
10000,125,0.903897
10000,125,0.879324
10000,125,0.894609
10000,126,0.796997
10000,126,0.899207
10000,126,0.773113
10000,126,0.908691
10000,126,0.836986
10000,127,0.857830
10000,127,0.905145
10000,127,0.864832
10000,127,0.737770
10000,127,0.905573
10000,128,0.727023
10000,128,0.785520
10000,128,0.896746
10000,128,0.894812
10000,128,0.790074
