size,threads,cores,time
10000,142,71,1.857581
10000,142,71,1.924659
10000,142,71,1.841697
10000,144,72,1.915487
10000,144,72,1.913433
10000,144,72,1.875765
10000,144,72,1.864171
10000,144,72,1.868687
10000,146,73,1.882257
10000,146,73,1.905853
10000,146,73,1.873325
10000,146,73,1.911350
10000,146,73,1.859558
10000,148,74,1.883758
10000,148,74,1.886023
10000,148,74,1.883650
10000,148,74,1.884698
10000,148,74,1.845600
10000,150,75,1.870088
10000,150,75,1.798134
10000,150,75,1.788077
10000,150,75,1.865445
10000,150,75,1.899547
10000,152,76,1.789049
10000,152,76,1.824630
10000,152,76,1.841110
10000,152,76,1.787767
10000,152,76,1.782179
10000,154,77,1.825650
10000,154,77,1.808432
10000,154,77,1.786234
10000,154,77,1.739239
10000,154,77,1.787664
10000,156,78,1.817906
10000,156,78,1.721209
10000,156,78,1.735744
10000,156,78,1.815766
10000,156,78,1.758326
10000,158,79,1.748391
10000,158,79,1.711201
10000,158,79,1.725629
10000,158,79,1.772619
10000,158,79,1.747040
10000,160,80,1.779234
10000,160,80,1.901740
10000,160,80,1.785491
10000,160,80,1.714654
10000,160,80,1.798909
10000,162,81,1.771989
10000,162,81,1.765805
10000,162,81,1.768209
10000,162,81,1.746909
10000,162,81,1.677401
10000,164,82,1.718854
10000,164,82,1.665913
10000,164,82,1.729396
10000,164,82,1.709171
10000,164,82,1.659958
10000,166,83,1.651374
10000,166,83,1.693528
10000,166,83,1.745929
10000,166,83,1.748315
10000,166,83,1.739886
10000,168,84,1.740822
10000,168,84,1.711158
10000,168,84,1.663973
10000,168,84,1.743560
10000,168,84,1.925139
10000,170,85,1.719530
10000,170,85,1.721692
10000,170,85,1.720918
10000,170,85,1.709916
10000,170,85,1.720752
10000,172,86,1.712987
10000,172,86,1.823863
10000,172,86,1.697459
10000,172,86,1.671543
10000,172,86,1.841917
10000,174,87,1.693185
10000,174,87,1.675600
10000,174,87,1.622024
10000,174,87,1.628847
10000,174,87,1.604963
10000,176,88,1.685381
10000,176,88,1.754452
10000,176,88,1.620478
10000,176,88,1.675700
10000,176,88,1.675155
10000,178,89,1.675164
10000,178,89,1.650129
10000,178,89,1.655464
10000,178,89,1.769149
10000,178,89,1.608407
10000,180,90,1.626347
10000,180,90,1.777279
10000,180,90,1.637031
10000,180,90,1.642645
10000,180,90,1.764847
10000,182,91,1.664091
10000,182,91,1.635089
10000,182,91,1.639655
10000,182,91,1.520136
10000,182,91,1.634858
10000,184,92,1.748897
10000,184,92,1.642484
10000,184,92,1.579087
10000,184,92,1.727998
10000,184,92,1.584247
10000,186,93,1.525599
